№;Проект;Аббревиатура;Блок;Раздел;Задача;Старт План;Конец План;Старт Факт;Конец Факт;Отклонение;Отклонений в днях;Причина отклонений;Бюджет План;Бюджет Факт;Резерв;РД по Договору;Отклонение разделов РД;Всего загружено;На согласовании;Выдана подрядчику;Выдано в производство работ;На доработке
2;Дмитровский;ККК;Блок 1;КОРОБКА, КРОВЛЯ, СТЕНЫ;Фундаменты сборные;01.11.2024;31.03.2028;01.11.2024;31.03.2028;0;0;Недостаточно трудоресурсов;30000;32000;2000;20;6;16;1;;14;1
3;Дмитровский;ККК;Блок 1;КОРОБКА, КРОВЛЯ, СТЕНЫ;Фундаменты монолитные;01.11.2024;01.11.2024;01.11.2024;01.11.2024;0;0;Недостаточно трудоресурсов;150000;145000;-5000;20;10;11;1;;10;
4;Есипово V;ККК;Блок 1;КОРОБКА, КРОВЛЯ, СТЕНЫ;Цокольные панели;01.11.2024;25.11.2025;01.11.2024;25.11.2025;0;0;Не передан фронт работ;75000;78000;3000;20;10;11;1;;10;
5;Дмитровский;ККК;Блок 1;КОРОБКА, КРОВЛЯ, СТЕНЫ;Железобетонные колонны;01.11.2024;01.01.2025;01.11.2024;01.01.2025;0;0;Не передан фронт работ;80000;85000;5000;5;3;3;1;;2;
6;Дмитровский;ККК;Блок 2;КОРОБКА, КРОВЛЯ, СТЕНЫ;Металлические конструкции;01.11.2024;28.07.2025;01.11.2024;28.07.2025;0;0;Нет оплаты подрядчику;45000;48000;3000;5;2;5;1;;3;1
7;Есипово V;ККК;Блок 2;КОРОБКА, КРОВЛЯ, СТЕНЫ;Профилированный лист;01.11.2024;28.06.2025;01.11.2024;28.06.2025;0;0;Нет оплаты подрядчику;35000;33000;-2000;5;4;2;1;;1;
8;Дмитровский;ККК;Блок 2;КОРОБКА, КРОВЛЯ, СТЕНЫ;Ограждающие конструкции;01.11.2024;28.02.2027;01.11.2024;16.06.2027;1;108;Нет оплаты подрядчику;110000;115000;5000;5;2;3;0;;3;
9;Дмитровский;ККК;Блок 2;КОРОБКА, КРОВЛЯ, СТЕНЫ;Кровля;01.11.2024;01.11.2024;01.11.2024;01.11.2024;0;0;Нет РД;40000;42000;2000;3;1;3;1;;2;
10;Есипово V;ВЛ;Блок 2;Внутренние лестницы;Внутренние лестницы;01.11.2024;01.11.2024;01.11.2024;01.11.2024;0;0;Нет РД;70000;72000;2000;1;0;2;1;;1;
11;Дмитровский;ВП;Блок 3;Внутренний пандус;Внутренний пандус;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Нет РД;95000;92000;-3000;10;1;10;1;;9;
12;Дмитровский;ПСВ;Блок 3;ПОДЪЕМНО-СЕКЦИОННЫЕ ВОРОТА, ДОКИ;ПОДЪЕМНО-СЕКЦИОННЫЕ ВОРОТА, ДОКИ;01.11.2024;30.11.2024;01.11.2024;17.02.2025;1;79;Ошибки в РД;25000;23000;-2000;5;2;4;1;;3;
14;Дмитровский;О;Блок 3;ОКНА;Наружные оконные блоки ;01.11.2024;30.11.2024;01.11.2024;17.04.2025;1;138;Нет РД;90000;95000;5000;17;1;18;1;;16;1
26;Дмитровский;ППП;Блок 3;ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ;ПРОМЫШЛЕННЫЕ ПОЛЫ;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Недостаточно трудоресурсов;84615,38462;88846,15385;4230,76923;20;2;19;1;;18;
17;Есипово V;В;Блок 3;ВИТРАЖИ;Наружные витражи;31.12.2024;31.01.2027;18.04.2025;19.05.2027;1;108;Не передан фронт работ;90000;94500;4500;7;6;3;1;;1;1
18;Завод;В;Блок 3;ВИТРАЖИ;Внутренние витражи;01.02.2027;28.02.2027;20.05.2027;16.06.2027;1;108;Не передан фронт работ;50000;52500;2500;7;6;3;1;;1;1
20;Завод;ДРВ;Блок 3;ДВЕРИ, РАСПАШНЫЕ ВОРОТА;Наружные витражи;01.01.2025;30.01.2025;21.02.2025;12.03.2025;1;41;Не передан фронт работ;50000;52500;2500;40;17;33;10;;23;
21;Завод;ДРВ;Блок 3;ДВЕРИ, РАСПАШНЫЕ ВОРОТА;Внутренние витражи;01.11.2024;28.02.2027;01.11.2024;28.02.2027;0;0;Не передан фронт работ;50000;52500;2500;5;2;4;1;;3;
25;Ленинский;ППП;Блок 3;ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ;ОСНОВАНИЕ ПОД ПОЛЫ;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Не передан фронт работ;50000;52500;2500;102;38;86;19;;64;3
46;Дмитровский;ИСГ;Блок 1;ИНЖЕНЕРНЫЕ СЕТИ: ГАЗОСНАБЖЕНИЯ;ВНЕПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.11.2024;30.12.2024;01.11.2024;30.12.2024;0;0;Нет РД;84615,38462;88846,15385;4230,76923;5;2;3;0;;3;
27;Есипово V;ППП;Блок 1;ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ;Полы АБК/перекрытия/покрытие;01.01.2025;28.02.2027;01.01.2025;28.02.2027;0;0;Недостаточно трудоресурсов;90000;94500;4500;20;3;19;1;;17;1
30;Завод;ВСВВОВ;Блок 1;ВНУТРЕННИЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ, ОТОПЛЕНИЕ, ВЕНТИЛЯЦИЯ;ВНУТРЕННИЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ, ОТОПЛЕНИЕ, ВЕНТИЛЯЦИЯ;01.11.2024;31.01.2025;01.11.2024;31.01.2025;0;0;Недостаточно трудоресурсов;50000;52500;2500;6;5;2;1;;1;
31;Завод;ВСЭ;Блок 1;ВНУТРЕННИЕ СЕТИ: ЭЛЕТРОСНАБЖЕНИЕ;ВНУТРЕННИЕ СЕТИ: ЭЛЕТРОСНАБЖЕНИЕ;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Недостаточно трудоресурсов;50000;52500;2500;6;1;6;1;;5;
32;Ленинский;ВСП;Блок 1;ВНУТРЕННИЕ СЕТИ: ПОЖАРНЫЕ;ВНУТРЕННИЕ СЕТИ: ПОЖАРНЫЕ;01.12.2024;31.12.2024;01.12.2024;31.12.2024;0;0;Недостаточно трудоресурсов;50000;52500;2500;6;1;5;0;;5;
33;Ленинский;ГП;Блок 1;ОТДЕЛОЧНЫЕ РАБОТЫ;ОТДЕЛОЧНЫЕ РАБОТЫ;01.01.2025;31.01.2025;01.01.2025;31.01.2025;0;0;Недостаточно трудоресурсов;50000;52500;2500;6;3;3;0;;3;
15;Дмитровский;О;Блок 1;ОКНА;Внутренние оконные блоки;01.12.2024;30.12.2024;17.04.2025;17.04.2025;1;108;Не передан фронт работ;120000;135000;15000;7;2;6;1;;5;
36;Есипово V;ИСВ;Блок 1;ИНЖЕНЕРНЫЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ;ВНЕПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.12.2024;30.10.2026;01.12.2024;30.10.2026;0;0;Нет оплаты подрядчику;90000;94500;4500;6;5;1;0;;1;
37;Завод;ИСК;Блок 2;ИНЖЕНЕРНЫЕ СЕТИ: ОБОРУДОВАНИЕ КАНАЛИЗАЦИОННОЕ;ИНЖЕНЕРНЫЕ СЕТИ: ОБОРУДОВАНИЕ КАНАЛИЗАЦИОННОЕ;01.09.2026;30.09.2026;01.09.2026;30.09.2026;0;0;Нет оплаты подрядчику;50000;52500;2500;6;5;1;0;;1;
38;Завод;ИСП;Блок 2;ИНЖЕНЕРНЫЕ СЕТИ: ОБОРУДОВАНИЕ ПРОТИВОПОЖАРНОЕ;ИНЖЕНЕРНЫЕ СЕТИ: ОБОРУДОВАНИЕ ПРОТИВОПОЖАРНОЕ;01.11.2024;30.12.2024;01.11.2024;30.12.2024;0;0;Нет оплаты подрядчику;50000;52500;2500;20;6;16;1;;14;1
40;Завод;ИСЭ;Блок 2;ИНЖЕНЕРНЫЕ СЕТИ: ЭЛЕКТРОСНАБЖЕНИЕ;ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Нет оплаты подрядчику;50000;52500;2500;20;10;11;1;;10;
41;Завод;ИСЭ;Блок 2;ИНЖЕНЕРНЫЕ СЕТИ: ЭЛЕКТРОСНАБЖЕНИЕ;ДГУ;01.12.2024;30.12.2024;01.12.2024;30.12.2024;0;0;Нет оплаты подрядчику;50000;52500;2500;20;10;11;1;;10;
42;Ленинский;ИСЭ;Блок 2;ИНЖЕНЕРНЫЕ СЕТИ: ЭЛЕКТРОСНАБЖЕНИЕ;ВНЕПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.11.2024;30.12.2024;01.11.2024;30.12.2024;0;0;Нет оплаты подрядчику;50000;52500;2500;5;3;3;1;;2;
44;Ленинский;ИСГ;Блок 2;ИНЖЕНЕРНЫЕ СЕТИ: ГАЗОСНАБЖЕНИЯ;ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Нет оплаты подрядчику;50000;52500;2500;5;2;5;1;;3;1
35;Дмитровский;ИСВ;Блок 4;ИНЖЕНЕРНЫЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ;ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.12.2024;30.10.2026;01.12.2024;30.10.2026;0;0;Недостаточно трудоресурсов;200000;195000;-5000;6;1;5;0;;5;
45;Дмитровский;ИСГ;Блок 4;ИНЖЕНЕРНЫЕ СЕТИ: ГАЗОСНАБЖЕНИЯ;Котельные (оборудование, вн. газопровод, врезка, пнр);01.12.2024;30.12.2024;01.12.2024;30.12.2024;0;0;Нет РД;50000;55000;5000;5;4;2;1;;1;
48;Завод;ИСТ;Блок 4;ИНЖЕНЕРНЫЕ СЕТИ: ТЕПЛОСНАБЖЕНИЯ;ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Нет РД;50000;52500;2500;3;1;3;1;;2;
49;Завод;ИСТ;Блок 4;ИНЖЕНЕРНЫЕ СЕТИ: ТЕПЛОСНАБЖЕНИЯ;ВНЕПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.12.2024;30.12.2024;01.12.2024;30.12.2024;0;0;Нет РД;50000;52500;2500;1;0;2;1;;1;
51;Завод;ККК;Блок 4;КОРОБКА, КРОВЛЯ, СТЕНЫ;Фундаменты сборные;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Нет РД;50000;52500;2500;10;1;10;1;;9;
52;Завод;ККК;Блок 4;КОРОБКА, КРОВЛЯ, СТЕНЫ;Фундаменты монолитные;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Нет РД;50000;52500;2500;5;2;4;1;;3;
53;Ленинский;ККК;Блок 4;КОРОБКА, КРОВЛЯ, СТЕНЫ;Цокольные панели;01.12.2024;30.12.2024;01.12.2024;30.12.2024;0;0;Нет РД;50000;52500;2500;17;1;18;1;;16;1
54;Ленинский;ККК;Блок 4;КОРОБКА, КРОВЛЯ, СТЕНЫ;Железобетонные колонны;01.12.2024;30.12.2024;01.12.2024;30.12.2024;0;0;Нет РД;50000;52500;2500;7;2;6;1;;5;
55;Ленинский;ККК;Блок 4;КОРОБКА, КРОВЛЯ, СТЕНЫ;Металлические конструкции;01.12.2024;30.12.2024;01.12.2024;30.12.2024;0;0;Нет РД;50000;52500;2500;7;6;3;1;;1;1
56;Есипово V;ККК;Блок 4;КОРОБКА, КРОВЛЯ, СТЕНЫ;Профилированный лист;01.12.2024;30.12.2024;01.12.2024;30.12.2024;0;0;Ошибки в РД;90000;94500;4500;7;6;3;1;;1;1
57;Есипово V;ККК;Блок 4;КОРОБКА, КРОВЛЯ, СТЕНЫ;Ограждающие конструкции;01.12.2024;30.12.2024;01.12.2024;30.12.2024;0;0;Ошибки в РД;90000;94500;4500;40;17;33;10;;23;
58;Завод;ККК;Блок 4;КОРОБКА, КРОВЛЯ, СТЕНЫ;Кровля;01.11.2024;31.08.2025;01.11.2024;31.08.2025;0;0;Ошибки в РД;50000;52500;2500;5;2;4;1;;3;
60;Завод;ППП;Блок 4;ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ;ОСНОВАНИЕ ПОД ПОЛЫ;01.08.2025;31.08.2025;04.04.2025;04.04.2025;1;-149;Ошибки в РД;50000;52500;2500;102;38;86;19;;64;3
61;Завод;ППП;Блок 4;ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ;ПРОМЫШЛЕННЫЕ ПОЛЫ;01.08.2025;31.08.2025;01.08.2025;31.08.2025;0;0;Ошибки в РД;50000;52500;2500;20;2;19;1;;18;
62;Ленинский;ППП;Блок 4;ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ;Полы АБК/перекрытия/покрытие;01.08.2025;31.08.2025;01.08.2025;31.08.2025;0;0;Ошибки в РД;50000;52500;2500;20;3;19;1;;17;1
63;Ленинский;ДФ;Блок 4;ДЕКОР ФАСАДОВ;Декор фасадов;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Ошибки в РД;50000;52500;2500;6;5;2;1;;1;
64;Ленинский;ИСТ;Блок 4;ИНЖЕНЕРНЫЕ СЕТИ: ТЕПЛОСНАБЖЕНИЯ;ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ;01.12.2024;31.12.2024;01.12.2024;31.03.2025;1;90;Ошибки в РД;50000;52500;2500;6;1;6;1;;5;
